"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","male","70+ years",38180104,336.913531646,40.210751467,5.06985416,248.266849667,1944.480463862
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","female","50-69 years",153070256,21.000557172,4.697916302,1.077715569,12.919981964,37.807709305
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","male","Under 5",44586785.36,0.2369084996,0.1208268259,NA,NA,NA
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","male","5-14 years",82995384,1.292633169,0.03849794155,NA,NA,NA
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","male","15-49 years",390168996,35.849941196,5.677337322,0.188489696,3.058205402,30.797507497
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","male","50-69 years",156482208,152.433337644,17.357274191,1.775640703,34.520582994,374.538684264
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","female","5-14 years",71481072,0.8686701221,0.03903704737,NA,NA,NA
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","female","15-49 years",365100616,4.69305669,1.75153782,0.09939708434,0.8999562851,2.656216384
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","female","Under 5",38547038.16,0.183050372,0.1261904231,NA,NA,NA
"China","CHN","Southeast Asia, East Asia, and Oceania","East Asia","female","70+ years",42858944,77.304878505,12.989477545,3.055657726,156.526977662,585.964182392
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","male","Under 5",895510.178,0.1868887693,0.1014307713,NA,NA,NA
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","female","Under 5",855331.5267,0.1956217602,0.1092400225,NA,NA,NA
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","male","70+ years",470954,242.741080001,59.90958889,0.776154684,211.732112803,2364.89251256
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","female","50-69 years",2515588,27.345307171,10.465405649,0.2301475888,15.131753753,186.148157809
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","female","70+ years",1039560,72.213553358,17.566083989,0.449831623,108.202395495,1097.656041384
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","male","5-14 years",1826308,1.078984224,0.0291393917,NA,NA,NA
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","male","15-49 years",6863832,47.043329687,10.865796503,0.04830397415,5.326004612,73.166994844
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","male","50-69 years",2245503,147.263112012,35.665882751,0.3493631311,45.285766828,714.715477079
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","female","5-14 years",1751028,0.7095011824,0.02881592422,NA,NA,NA
"North Korea","PRK","Southeast Asia, East Asia, and Oceania","East Asia","female","15-49 years",6695147,7.332168025,3.73191433,0.02840016009,1.2699119,16.444869107
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","male","70+ years",923169.3907,338.629446924,89.065125212,16.592358588,237.16124706,1474.8188667
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","female","50-69 years",3056423.5,19.38137284,6.657878839,2.713289177,7.450645353,51.220593741
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","female","70+ years",1078713.031,81.144482829,19.408171647,12.154316209,92.561816564,415.723444894
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","male","5-14 years",1278556.406,0.6050179763,0.006473241143,NA,NA,NA
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","male","15-49 years",6433935.938,46.148561523,10.462152568,0.5759191026,2.902310371,32.832231955
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","male","50-69 years",2930664.531,159.347802401,36.614446435,5.057552698,26.091179461,239.037466235
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","female","5-14 years",1167339.719,0.4247411198,0.005961598504,NA,NA,NA
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","female","15-49 years",6350208.125,4.646101661,1.646646524,0.2624583885,0.6724134892,6.591818965
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","male","Under 5",533215.5225,0.1467634206,0.02368594494,NA,NA,NA
"Taiwan","TWN","Southeast Asia, East Asia, and Oceania","East Asia","female","Under 5",487514.1834,0.1507900834,0.03212129513,NA,NA,NA
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",4155538,44.484870159,8.348798292,0.06621589819,3.214871322,36.934771924
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",788722,171.127391513,16.450849944,0.9408263395,53.411361296,583.951594308
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",1548923,0.382469716,0.172874627,NA,NA,NA
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",4269689,6.603810471,2.696230877,0.0495709287,1.420922217,5.714994404
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",147755,319.255259819,13.392932306,2.01139228,266.581703909,2546.902000904
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",1069482,46.295797802,3.754610952,0.8147313565,33.902647556,114.230392501
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",910971.7317,0.2967766704,0.4603413345,NA,NA,NA
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",223742,153.248221613,2.815738662,1.667199831,213.210005313,466.597825289
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",1602495,0.8453085684,0.1466893536,NA,NA,NA
"Cambodia","KHM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",875149.1453,0.2744872063,0.5462003173,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",23900000,0.1661151941,0.03802020387,NA,NA,NA
"Indonesia","IDN","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",12153048.71,0.01456828329,0.2458071094,NA,NA,NA
