Location,location_id,Super Region,Region,SDI Quintile,African Union (AU),Commonwealth,European Free Trade Association,EU-15,European Union,EU and EFTA,Four World Regions,G20,Gulf Cooperation Council,OECD Countries,Southern African Development Community,UN Regional Commissions,WHO region,World Bank Income Levels,World Bank Regions
Global,1,,,,,,,,,,,,,,,,,,
High-income,64,High-income,,,,,,,,,,,,,,,,,
High-income North America,100,High-income,High-income North America,,,,,,,,,,,,,,,,
Canada,101,High-income,High-income North America,High SDI,,Commonwealth High Income,,,,,America,G20,,OECD Countries,,ECE,Region of the Americas,World Bank High Income,North America
Greenland,349,High-income,High-income North America,High-middle SDI,,,,,,,Europe,,,,,,,World Bank High Income,
United States,102,High-income,High-income North America,High SDI,,,,,,,America,G20,,OECD Countries,,ECE,Region of the Americas,World Bank High Income,North America
Australasia,70,High-income,Australasia,,,,,,,,,,,,,,,,
Australia,71,High-income,Australasia,High SDI,,Commonwealth High Income,,,,,Asia,G20,,OECD Countries,,ESCAP,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
New Zealand,72,High-income,Australasia,High SDI,,Commonwealth High Income,,,,,Asia,,,OECD Countries,,ESCAP,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
High-income Asia Pacific,65,High-income,High-income Asia Pacific,,,,,,,,,,,,,,,,
Brunei,66,High-income,High-income Asia Pacific,High SDI,,Commonwealth High Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
Japan,67,High-income,High-income Asia Pacific,High SDI,,,,,,,Asia,G20,,OECD Countries,,ECLAC,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
Singapore,69,High-income,High-income Asia Pacific,High SDI,,Commonwealth High Income,,,,,Asia,,,,,ESCAP,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
South Korea,68,High-income,High-income Asia Pacific,High SDI,,,,,,,Asia,G20,,OECD Countries,,ECLAC,Western Pacific Region,World Bank High Income,East Asia & Pacific - WB
Western Europe,73,High-income,Western Europe,,,,,,,,,,,,,,,,
Andorra,74,High-income,Western Europe,High SDI,,,,,,,Europe,,,,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Austria,75,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Belgium,76,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Cyprus,77,High-income,Western Europe,High SDI,,Commonwealth High Income,,,European Union,EU and EFTA,Europe,G20,,,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Denmark,78,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Finland,79,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
France,80,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
Germany,81,High-income,Western Europe,High SDI,,,,EU-15,European Union,EU and EFTA,Europe,G20,,OECD Countries,,ECE,European Region,World Bank High Income,Europe & Central Asia - WB
